,Importance
first_road_number_4211.0,0.00011601461114613444
vehicle_location_restricted_lane_Leaving lay-by or hard shoulder,0.00011587075548798363
first_road_number_189.0,0.00011564384645979477
first_road_number_686.0,0.00011532331923530022
first_road_number_6135.0,0.00011502510530408943
first_road_number_168.0,0.00011450219548260769
first_road_number_159.0,0.000114279697129983
first_road_number_5035.0,0.00011416015383310285
first_road_number_5036.0,0.00011398226593446303
first_road_number_207.0,0.0001138998473548168
first_road_number_583.0,0.00011350931968017393
first_road_number_680.0,0.00011262257320831283
first_road_number_2028.0,0.00011242816814822233
first_road_number_5248.0,0.00011228092072964944
first_road_number_3036.0,0.00011227867764971488
first_road_number_4006.0,0.00011157497104637848
first_road_number_1230.0,0.00011145161651047444
first_road_number_3102.0,0.00011125057945226344
first_road_number_621.0,0.00011108358334909301
first_road_number_191.0,0.00011096139523881279
first_road_number_1036.0,0.0001108774178201977
first_road_number_462.0,0.00011072735747559612
first_road_number_4103.0,0.00011053361305291306
first_road_number_459.0,0.00011042704381943227
first_road_number_533.0,0.00010995938481227445
first_road_number_3315.0,0.0001092325091753167
first_road_number_110.0,0.000109004592016978
first_road_number_275.0,0.0001089962117271089
first_road_number_649.0,0.00010807938711966062
first_road_number_5061.0,0.0001078385867800743
first_road_number_676.0,0.00010754597996632837
first_road_number_342.0,0.00010688076444273629
special_conditions_at_site_Road surface defective,0.00010661656502398975
first_road_number_1303.0,0.00010638587395204163
first_road_number_2066.0,0.00010625497478367065
first_road_number_1074.0,0.00010621483927180031
first_road_number_4176.0,0.000105874821255181
first_road_number_6010.0,0.00010569272691488351
first_road_number_673.0,0.00010551541007187557
first_road_number_451.0,0.00010519823790491173
first_road_number_402.0,0.00010497246950982819
first_road_number_518.0,0.00010483078767601314
first_road_number_386.0,0.00010376063003972091
first_road_number_3054.0,0.0001032864480720103
first_road_number_3081.0,0.00010318655348132444
first_road_number_117.0,0.00010312676662397569
first_road_number_1105.0,0.00010301498566555402
first_road_number_39.0,0.00010259795876299588
first_road_number_1240.0,0.00010196251087989012
first_road_number_491.0,0.00010178343720339745
first_road_number_403.0,0.00010173261641089587
first_road_number_53.0,0.00010119052045518393
first_road_number_4124.0,0.0001008429470396251
first_road_number_1018.0,0.00010083612510803947
first_road_number_611.0,0.00010058912137964095
first_road_number_3400.0,0.00010050763269213415
first_road_number_4063.0,0.00010039899788211374
first_road_number_4090.0,0.00010038569975856993
first_road_number_270.0,0.00010013654318828315
first_road_number_6004.0,9.989138194525024e-05
first_road_number_141.0,9.983036190233141e-05
first_road_number_523.0,9.971578154510355e-05
first_road_number_266.0,9.971234805900456e-05
first_road_number_247.0,9.963389159663502e-05
first_road_number_550.0,9.916189396949913e-05
first_road_number_669.0,9.8704875382384e-05
first_road_number_653.0,9.839942790183996e-05
first_road_number_4095.0,9.796670254362546e-05
first_road_number_5010.0,9.777794033358523e-05
first_road_number_619.0,9.765091344438464e-05
first_road_number_415.0,9.718006127411947e-05
first_road_number_264.0,9.716734281814609e-05
first_road_number_287.0,9.701489027702424e-05
first_road_number_5236.0,9.690292308558276e-05
first_road_number_6087.0,9.689372175413414e-05
first_road_number_6009.0,9.62519679915655e-05
first_road_number_1253.0,9.609736313231431e-05
first_road_number_530.0,9.569295275655202e-05
first_road_number_186.0,9.564121703537326e-05
first_road_number_2022.0,9.559966007450798e-05
first_road_number_1086.0,9.539396132869555e-05
first_road_number_446.0,9.50120662337297e-05
first_road_number_422.0,9.484218672569869e-05
first_road_number_414.0,9.471938305763329e-05
first_road_number_606.0,9.46774289980348e-05
first_road_number_323.0,9.459744927966119e-05
first_road_number_4456.0,9.454169020992027e-05
first_road_number_556.0,9.450593744822079e-05
first_road_number_6075.0,9.430280605493574e-05
first_road_number_504.0,9.380072383509011e-05
first_road_number_120.0,9.376069797826864e-05
first_road_number_509.0,9.366518298944588e-05
first_road_number_370.0,9.349877817096693e-05
first_road_number_348.0,9.319892135678435e-05
first_road_number_4102.0,9.281408055307271e-05
first_road_number_320.0,9.256469157605793e-05
first_road_number_6041.0,9.14521729846766e-05
first_road_number_1200.0,9.07842053306379e-05
first_road_number_536.0,9.073208888613745e-05
first_road_number_1290.0,9.068850195785657e-05
first_road_number_6033.0,9.038747447997351e-05
first_road_number_679.0,9.000102933441567e-05
first_road_number_334.0,8.92767084188926e-05
first_road_number_6102.0,8.893323647548275e-05
first_road_number_2110.0,8.88844294951001e-05
first_road_number_4260.0,8.875823541524439e-05
first_road_number_6178.0,8.848696221733263e-05
first_road_number_2047.0,8.839517535624607e-05
first_road_number_360.0,8.826221867366812e-05
first_road_number_3217.0,8.769597103363204e-05
first_road_number_6109.0,8.74031961459448e-05
first_road_number_1402.0,8.707944356118359e-05
first_road_number_2219.0,8.652577832978661e-05
first_road_number_6119.0,8.644131897963731e-05
first_road_number_4039.0,8.607162516041353e-05
first_road_number_1033.0,8.595843509548542e-05
first_road_number_5127.0,8.586489746239683e-05
first_road_number_5152.0,8.56809807950023e-05
hit_object_in_carriageway_Previous accident,8.554583874761044e-05
first_road_number_5268.0,8.537303298714364e-05
first_road_number_67.0,8.528201459205952e-05
first_road_number_1188.0,8.522841159695334e-05
first_road_number_1302.0,8.522260312118166e-05
first_road_number_618.0,8.483199889093401e-05
first_road_number_5132.0,8.447765465159084e-05
first_road_number_6326.0,8.440482016483631e-05
first_road_number_3090.0,8.408438746915387e-05
first_road_number_441.0,8.406711139856302e-05
first_road_number_594.0,8.389581671952537e-05
first_road_number_640.0,8.367338553029935e-05
first_road_number_267.0,8.358219031014949e-05
first_road_number_460.0,8.346842346657536e-05
first_road_number_513.0,8.329712738182527e-05
first_road_number_3020.0,8.314094138807286e-05
first_road_number_519.0,8.312015607713925e-05
first_road_number_1434.0,8.253408241065578e-05
first_road_number_400.0,8.250728067914806e-05
first_road_number_1220.0,8.239699429075055e-05
first_road_number_3057.0,8.228825326716846e-05
first_road_number_433.0,8.227732355895381e-05
first_road_number_675.0,8.219656308138279e-05
first_road_number_1224.0,8.200453851467709e-05
first_road_number_256.0,8.179939976039438e-05
first_road_number_235.0,8.141147597328512e-05
first_road_number_6514.0,8.11372181879971e-05
first_road_number_226.0,8.097196650996932e-05
