,Importance
vehicle_location_restricted_lane_On lay-by or hard shoulder,0.00018125912721101017
first_road_number_444.0,0.00018083424637707366
hit_object_off_carriageway_Central crash barrier,0.00017976268798784427
first_road_number_530.0,0.00017498718371547242
first_road_number_4348.0,0.00017482676354563527
first_road_number_151.0,0.0001746992835152931
first_road_number_574.0,0.00017317197594380796
first_road_number_417.0,0.00017040407429196326
first_road_number_587.0,0.00017017425527735743
first_road_number_265.0,0.0001701231909349634
sex_of_driver_Not known,0.00016989008242856526
first_road_number_6060.0,0.00016984819391379805
first_road_number_123.0,0.00016908087251823195
first_road_number_689.0,0.00016834526985461373
first_road_number_461.0,0.00016797379472484875
first_road_number_390.0,0.0001668721932453603
first_road_number_2030.0,0.00016644784869729548
first_road_number_644.0,0.00016631844478099124
first_road_number_29.0,0.00016627016267226728
first_road_number_143.0,0.00016623544042631148
first_road_number_185.0,0.0001657715137483748
first_road_number_6020.0,0.0001657110032617516
first_road_number_4124.0,0.00016526055799916489
first_road_number_5058.0,0.00016393759425915855
first_road_number_631.0,0.000163530621895066
first_road_number_4006.0,0.00016277947366986597
first_road_number_4095.0,0.000161622453096182
first_road_number_4100.0,0.00016089432937111667
first_road_number_658.0,0.00016058292458101777
first_road_number_5215.0,0.00016049509535801028
first_road_number_352.0,0.00015832870302783496
first_road_number_43.0,0.00015832208934714822
first_road_number_3052.0,0.0001580061472088101
first_road_number_505.0,0.00015692397821102076
first_road_number_177.0,0.00015635379386127094
first_road_number_236.0,0.00015625507499270465
vehicle_location_restricted_lane_Cycle lane (on main carriageway),0.0001557085143726217
first_road_number_104.0,0.00015405521538446932
first_road_number_4176.0,0.00015383085821431646
first_road_number_438.0,0.00015347565240214826
first_road_number_1006.0,0.0001533932631038312
first_road_number_339.0,0.00015337462922724234
first_road_number_2175.0,0.0001526008094534635
first_road_number_370.0,0.0001517469551681067
first_road_number_457.0,0.00015141683368073754
first_road_number_174.0,0.00015129246190386336
first_road_number_4455.0,0.0001512253092336069
first_road_number_1010.0,0.00015099572992723588
first_road_number_1405.0,0.0001508490913454277
first_road_number_3035.0,0.00014985272775635942
first_road_number_676.0,0.0001494681492421105
first_road_number_460.0,0.00014906948624303075
first_road_number_4198.0,0.00014683444869639738
first_road_number_1134.0,0.00014577944155136794
first_road_number_214.0,0.00014565127132387746
first_road_number_508.0,0.0001440883464818076
carriageway_hazards_Any animal in carriageway (except ridden horse),0.00014395944029129342
towing_and_articulation_Other tow,0.00014345441588985727
road_surface_conditions_Snow,0.00014285327839516269
first_road_number_533.0,0.0001428114062643797
first_road_number_690.0,0.00014273385099465634
first_road_number_5063.0,0.00014236440341560365
first_road_number_454.0,0.00014193850373455286
first_road_number_458.0,0.00014081733685412083
first_road_number_320.0,0.00014064705112048044
first_road_number_621.0,0.00014028685056916728
first_road_number_337.0,0.00014009872637711342
first_road_number_3072.0,0.00013996380199857768
first_road_number_189.0,0.00013962617357158035
first_road_number_3024.0,0.00013959158167398242
first_road_number_306.0,0.0001389313040887558
first_road_number_342.0,0.00013870235995683456
